"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\Tab.jsx", "JavaScript JSX", 0, 0, 117, 4, 9, 130
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\Tab.stories.js", "JavaScript", 0, 37, 0, 0, 3, 40
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Tab\style.css", "CSS", 7, 0, 0, 0, 1, 8
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\TreeMenu.jsx", "JavaScript JSX", 0, 0, 92, 4, 15, 111
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\TreeMenu.stories.js", "JavaScript", 0, 20, 0, 0, 3, 23
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TreeMenu\style.css", "CSS", 218, 0, 0, 0, 39, 257
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close2\AtomsIcon2019Close2.jsx", "JavaScript JSX", 0, 0, 21, 4, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close2\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close4\AtomsIcon2019Close4.jsx", "JavaScript JSX", 0, 0, 21, 4, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close4\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\AtomsIcon2019Close578\AtomsIcon2019Close578.jsx", "JavaScript JSX", 0, 0, 24, 4, 3, 31
